address,token_id,balance
0x0000000000000000000000000000000000000000,6,1
0x0000000000000000000000000000000000000000,8,25
0x0000000000000000000000000000000000000000,9,40
0x0000000000000000000000000000000000000000,10,130
0x0000000000000000000000000000000000000000,24,828
0x000000000000000000000000000000000000dead,1,221
0x000000000000000000000000000000000000dead,24,1
0x000c5a18b902061ef9f12382d4e0a2709a0112fc,24,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,4,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,5,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,14,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,15,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,16,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,17,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,18,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,20,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,34,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,38,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,42,1
0x005f97eec41368d87b21be7285e906849351af4c,39,1
0x006a3acd3ebae6403ac8972b0813c2e9c5b803d9,1,1
0x006a3acd3ebae6403ac8972b0813c2e9c5b803d9,30,1
0x006a3acd3ebae6403ac8972b0813c2e9c5b803d9,34,1
0x006a3acd3ebae6403ac8972b0813c2e9c5b803d9,35,1
0x006a3acd3ebae6403ac8972b0813c2e9c5b803d9,39,1
0x006a3acd3ebae6403ac8972b0813c2e9c5b803d9,42,1
0x00de941478bce28995318726a7a727935105d5dd,34,1
0x00de941478bce28995318726a7a727935105d5dd,35,1
0x00de941478bce28995318726a7a727935105d5dd,39,1
0x00de941478bce28995318726a7a727935105d5dd,41,1
0x00ff192363430a35abbf968c535b64147e88abdb,13,1
0x00ff192363430a35abbf968c535b64147e88abdb,24,1
0x00ff192363430a35abbf968c535b64147e88abdb,26,1
0x00ff192363430a35abbf968c535b64147e88abdb,27,1
0x00ff192363430a35abbf968c535b64147e88abdb,29,1
0x00ff192363430a35abbf968c535b64147e88abdb,35,1
0x00ff192363430a35abbf968c535b64147e88abdb,37,1
0x00ff192363430a35abbf968c535b64147e88abdb,39,1
0x00ff192363430a35abbf968c535b64147e88abdb,42,1
0x011a6f601ac7307a8e091e7d62b14b00802af217,30,1
0x011a991df27fb53637b7319d3a43e91b5da5b4e8,24,3
0x01551b24e16e9a60576a808a94f37631471643e8,24,1
0x016099f9c894285b4bcf82424a4dbde44195ebbc,24,1
0x0165dfa0c24594ee8e4b75b1de5d411d6feae33d,24,1
0x017347cb75ac8725608e593ea35d83f9b2b3cfb8,24,1
0x017347cb75ac8725608e593ea35d83f9b2b3cfb8,38,1
0x01876c26c13b9916853b97033f89f4ab0b5001ca,1,1
0x01876c26c13b9916853b97033f89f4ab0b5001ca,24,1
0x01876c26c13b9916853b97033f89f4ab0b5001ca,30,1
0x01876c26c13b9916853b97033f89f4ab0b5001ca,35,1
0x01876c26c13b9916853b97033f89f4ab0b5001ca,36,1
0x01876c26c13b9916853b97033f89f4ab0b5001ca,39,1
0x0187c9a182736ba18b44ee8134ee438374cf87dc,39,1
0x0193489b5f94cf86964fada1ed9b5ea44efa9fd1,24,1
0x019e03600d1b28e233536a866837bfa067579697,4,2
0x019e03600d1b28e233536a866837bfa067579697,34,1
0x019e03600d1b28e233536a866837bfa067579697,35,1
0x019e03600d1b28e233536a866837bfa067579697,36,1
0x019e03600d1b28e233536a866837bfa067579697,39,1
0x01d6f0b38e2814dd8ef0163bfc05492eb7ea9b23,24,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,1,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,24,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,34,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,35,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,36,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,39,1
0x01d8a4aadba222244721f6784394b74cbe8c2512,41,1
0x01df3717ea028db51c6080db588cd04940c493f6,32,1
0x0239769a1adf4def9f07da824b80b9c4fcb59593,15,1
0x0264a803979bd0b485a6701f1ab17aab3bcd8ff7,24,1
0x0267cae582ee2444eeefb635b17aa5f6269af6b1,32,1
0x02699738962ada8fd55bd7e4e479abc9e848205a,24,1
0x0289e908cfd2320becf0aafc5b7e99d61d1c608d,24,1
0x028dea33ba60c324b0d277de3249df8355c751e0,34,1
0x028dea33ba60c324b0d277de3249df8355c751e0,35,1
0x029acd49d3aabc08402c84367c050dfd52b6c566,24,1
0x02aaa417b43f9a23e772276c31c5bd7ed9a682bc,34,1
0x02bebb44a4fe9eb0c0aa0205a2494394b32d3534,24,2
0x030eaddf49c1660401aac999abe946b209c3c9c1,24,2
0x03183fcd2d6a40b466375cdcafe2cd61d0cda659,27,1
0x0341e935efa5150b84003869c9212ea68aeb3b5a,24,2
0x0341e935efa5150b84003869c9212ea68aeb3b5a,38,1
0x03422275c91e065cfb65333a209820c5044d20b5,24,1
0x0359c0b2b30ff5e52893156c1baba2b55a468700,24,1
0x039d7c84bc43f8bc311ec21aeef57dcb45a8091d,14,1
0x039d7c84bc43f8bc311ec21aeef57dcb45a8091d,25,1
0x03dd9ef904e701c8462b3dfe396ab2216349a753,24,1
0x03dd9ef904e701c8462b3dfe396ab2216349a753,38,1
0x03ee832367e29a5cd001f65093283eabb5382b62,14,1
0x03ee832367e29a5cd001f65093283eabb5382b62,24,3
0x03ee832367e29a5cd001f65093283eabb5382b62,39,1
0x0405af0ccbe75b2ab5512a27261a60ae94f2abcd,32,1
0x0424f90476523ff9e29140a0e5e4af70774debcd,35,1
0x042ba4417678da52b73d59ccf65fb08e47fdbb60,24,2
0x04490fb053a8ff110bea35f22d955c0092aae5f8,4,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,5,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,13,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,14,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,15,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,16,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,17,2
0x04490fb053a8ff110bea35f22d955c0092aae5f8,18,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,20,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,22,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,24,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,27,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,28,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,34,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,35,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,37,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,38,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,39,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,40,1
0x0476645e7a9bf4c50123daa318bdeab571bd62a0,24,1
0x04c1c15a1554891fb2dd7c4939e7d95d06ee253f,24,2
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,1,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,2,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,4,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,5,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,13,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,14,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,15,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,16,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,17,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,18,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,20,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,24,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,25,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,29,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,30,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,34,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,35,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,39,1
0x04c95c6f8ea7ff7c3f7a2f148fae75650c5a875e,42,1
0x04d253fbdd4501c383e35dea2663a053b7439904,28,1
0x04df8d02f912d34fef12a1b0488ee56fd6f7416c,34,1
0x04df8d02f912d34fef12a1b0488ee56fd6f7416c,35,1
0x04df8d02f912d34fef12a1b0488ee56fd6f7416c,39,1
0x050d5de9e16c708c522dec77b8f5542118f2e116,1,1
0x050d5de9e16c708c522dec77b8f5542118f2e116,34,1
0x052564eb0fd8b340803df55def89c25c432f43f4,30,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,1,3
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,2,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,3,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,4,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,5,2
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,7,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,8,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,9,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,10,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,11,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,13,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,14,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,15,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,16,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,17,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,18,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,19,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,20,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,21,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,22,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,23,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,24,5
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,25,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,26,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,27,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,28,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,29,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,30,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,31,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,32,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,33,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,34,3
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,35,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,36,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,37,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,38,2
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,39,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,41,1
0x05576913eea5d79b83f28f0cb0d12be54fdae8dc,42,1
0x0566295faf52797d4a29e5b78bf28e287e4ca2da,24,1
0x0578aa0595e0c83530dcde1d7a339479bfe6b0b7,24,1
0x057931155d0c6355b1bd108b0fbfe9bc77d59ef0,7,1
0x05c802c365601392867c340e492ef1d0ddad7970,39,1
0x060ae40af665c3b35c5d7ec749bd43a007ec0093,24,1
0x060ae40af665c3b35c5d7ec749bd43a007ec0093,38,1
0x061600d3515b387d562504eed5a1a485f9ae0ee4,29,1
0x061600d3515b387d562504eed5a1a485f9ae0ee4,32,1
0x0671ecfa289c70b15f87b82cb53e88d51afb93e0,24,1
0x06adc801778965ab3d829418b4110df7936957ac,24,4
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,1,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,2,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,3,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,4,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,5,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,7,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,10,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,11,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,13,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,14,2
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,15,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,16,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,17,3
