publicAddress,wantsToParticipate,accountAmountOfLetsPlay
0x1796a702f8bee364846735a10c7daf62eed34a67,true,4
0x0ce390f18af702cca546297845a4a51d102123cf,true,1
0xc2ec556af69fc6d7d708f1d111d5860583982d5b,true,1
0x97139ab1d45e3e1f02083e216c9d3d5af8bc958f,true,6
0x265a25670a194df9ff63c848827455da74042087,true,6
0xa78b54a5486ce07838c1511c5ad5f72df2ac833a,true,5
0xd353a1a0051175b4ddacc8e6e6ee5f3976b907e8,true,1
0xfdd9a3e4c07756c1dc31ba938fc062d45eab1668,true,3
0xb2e7f7cf519020c8b6ff32a088fec95b03ccc715,true,1
0x37ba996dd7eb738af38af7839a17ad19cad5f155,false,1
0x24e838b0181c7af61518c27063e1dc9359cd2f0f,true,1
0xf7764568b698e5954892c00ed7d9a390b105c5f7,true,1
0x9a68254a63b08710901e721352342d3b2d30901c,true,1
0x5f0f6f695febf386aa93126237b48c424961797b,true,1
0x117dde66c2de2979ba4619d8d494fd20ffe96c2e,true,1
0xca7e077ab56ba580f7dbe6e50cb2468827bcc40e,true,1
0x2d11aae00487160cbc5b41442a0b14b5e1ac2d1d,true,4
0xa1f5c398179132a017e89a747cb097ca4bb1b117,true,1
0x69cb3b1de24e08f1cfc2994171b6c6930498f750,true,3
0xc85b3cbf81e63e0524717efc4e53dc12658b1fc5,true,1
0x6926b9af630d085ed636780f57b7febe02150ac5,true,1
0xda4c7cccb4572eb210ee6ad6fbc3f752304d4a63,true,1
0x9d45c8492f94687ec1317ee81e2b8647af5a1759,true,2
0x26f87915216d0d7375c9febd8a63bb90d1b503c5,true,1
0x443540a94c9d53445725c9637d533e0a5faf40f7,true,9
0x5843236ce0d3e08ecc8898a995212ab4c4a11107,true,1
0x590f4ca9b70860d1b89be8a7e69f22e59f6dcf6f,true,1
0x7e7216319b016c758ed6f792eff389291aa8040f,true,1
0xed8982578836f7d498856b3f543f128bb8621f2a,true,9
0x23602ca06e977c86339ffddad74966e824ab691e,true,10
0x1d10b0166a761f269adf864ebdaca9be445ca637,true,2
0xd2b12f1a75b2313980d7c410002e6a48cf389b8d,true,1
0x75e1ee1dc2f501c1b23332e92c19f21866960ecd,true,1
0xc9646794d03c53bc9a3b4ad60188a0b1d962e8ff,true,1
0xd7f47f4932f65c2bc1650e6f10218a0528543437,true,1
0xe01a97fc4607a388a41626d5e039fdecbfc6acd9,true,5
0x6af7812fc932da2d34738a33f295de54011fd16b,true,1
0xb006e407c055350055c197cc00aa38301d916d0c,true,1
0x9424116b9d61d04b678c5e5eddf8499f88ed9ade,true,1
0x7ed9cf5dbf2f68bd33ea2c95ef2b4634976ba7f8,true,2
0x5168895228e49c785d3d77a4621f076403da79a0,true,1
0x58335915e11acba82cada466f02ce70668614f9d,true,1
0x32084ce62e8955da04ce2a2969bd6edbb4b346a5,true,2
0x68f4400dac3a94d77c7f6bd12976ff5704253deb,true,1
0xe1268b49d3e4e559f466239df4bee1d5cae04356,true,3
0xdac6a6bf61f10d57d7156348a5400ed0b9aa1fb3,true,1
0x9a667dcebfab972af744ac02e6d477945fc24da2,true,1
0x69cb511fca7c6d3534b6dfa3bb4ac5446b63ef53,true,1
0x64acc74b69faaaa90a5bcd5c46b4de3baf0c51b8,true,3
0x97d2b1b4a249ec77d56fd1576546996d14f7db1a,true,1
0xe74abe3bc87a4cf34acfd7c548208700c0e669b0,true,3
0x31f5afe73e35de36ec0b99ab683883af4dfc8dce,true,1
0xffcad6bba49e6a63489c078c3a4a9298ee21cfab,true,1
0x0b4990b3ac5d1d00e32711d421543975ad7a9906,true,2
0xd91dc7c83bd01b91cb25019dfc4e35bc6faab814,true,1
0x0057ff99a06f82cd876c4f7f1718bd9a4f2e74b6,true,1
0x482293e4c21130f069169e5d7e9c99f239c5ee8e,true,1
0xcb06bede7cb0a4b333581b6bdcd05f7cc737b9cc,true,1
0x527bb834cc5c8ff730c673880e51372282b06e14,true,1
0xd2d667b236cf6dc95db080f9a8e6b1ce13971dd5,true,1
0xd1485406996381f88999da9789e2f03d69bc53f2,true,1
0xc1eca986c20103f3a180d797f5be64702bae7b22,true,3
0xf29d4d7b3270beb3c54ee703fe2d9d17bf806c81,true,1
0x04df8d02f912d34fef12a1b0488ee56fd6f7416c,true,2
0xccf92004887dae63679519278c17c7feca6cecb7,true,1
0x5316f1a2594388c989273c353865bc43111a9bd4,true,1
0x877966054785c393ef68b2c4bc45d5676915c7e2,true,1
0xf9b7d79932b16c6bf8d08dbce15cd5e6942dd18f,true,10
0xe05adcb63a66e6e590961133694a382936c85d9d,true,1
0x6d4d7f486e3507a608a833248a22138a132ed08d,true,1
0x5491c799e50b472e3bf0162dae268a5783d5ad07,true,1
0x88668b63218bcfd31692e14f635d195f9f45c030,true,1
0x96dc89dbe84970ee42a2f0b35fb50599e6745ff8,true,1
0xc7ec028c706ec2fcfdcf66bba7e80ded634f6ca9,true,1
0x55c8ddb3f486d9f434da6bc24bc756d8d81b2a7b,true,1
0x0c664c03eebcecb6c21e3b3bc77c9dffed5bd694,true,1
0xe9d53246209e4cd87dbc5d1fee71f44bff89a611,true,1
0xe15cf0ede90e9059188fc8439014d1ffe29e0bbc,true,1
0x8c976b2d3725fe86443a0d443f71ecbcf297e577,true,1
0x340dc2e57d64e4f8a7010eb347fd1ca1b18bf935,true,1
0x8dd62416fa3c6efada57eb7a6383885045390204,true,1
0x414ae75fc968d90fa82f0402a55603d1b5186c37,true,1
0x301cc218009608e59f9647f4b7dd8a49be8493af,true,1
0x0cde89a91d6fd05c35f593f029b2be2d5b5eb075,true,1
0x06e13bd0a3cba08e61028f2326b9ea2ca2539900,true,1
0x6212fb7476decbcd0f0d30030727eb4d86c6e654,true,1
0x6b6ae848f555f70944bc99d736fe29fcaecf8b23,true,1
0x0b313ead65233ddb8dddac125c324f9f58e4f74c,true,1
0x1c5762f9899b46c19d4c9b8fbdd38d35856227f3,true,1
0x70f275bb99e26c8275dab9ac843535f8e130bc87,true,1
0x7a1c5e9dc063a6915855247e96efab3cfc20ad9d,true,1
0xe39bd9e3af2054dd193b0d0217cfbd460f104902,true,1
0x2c31159f1497aed2cf9c028e55416f3050db1dff,true,2
0x0ace76b681084e0f7fd9fe4eab763275d43bec8f,true,3
0x2653b629bf3ac41994e8f17e7fecc9b803c78b26,true,1
0x4fb98d1499a24e9c794401e9fb96e9483a43d934,true,1
0x04490fb053a8ff110bea35f22d955c0092aae5f8,true,2
0x2bfca0be6ba3fa7c5f496d8967ae7c041faee0d2,true,1
0x4de687d92445c81307e66c4f5640a72c093d8762,true,1
0xdf36b093cbc06522b68105c3d9141db188e980b6,true,1
0x36be14c0d731d70333e4f906a0d33ef65182fd0d,true,1
0xe96ead0ad625122677684448155ba4ae2700814d,true,1
0x481b1e34fc679b94e78571de1369d8ebe4bacdbf,true,9
0xf50bdeafecca3a679d26ae4c2dec953e032a6fda,true,5
0x44c2a80f8b924858db469a5b35128908e55c531f,true,1
0x1a41ec571ec8fc815febf81fcbaf9d7f7ec98849,true,1
0xd3fac37e04a928f581459ea81d7b1e2dc64c2fbb,true,1
0x7c5504688eb4f81ed558550066dc218ffee1f6c8,true,1
0x3a661a18cb0258119636dfdde098648c6ad5ba62,true,1
0xca3872b1f2203c4b488955f6d8fc28c35315b507,true,1
0x02aaa417b43f9a23e772276c31c5bd7ed9a682bc,true,1
0x6e08a7b853722ed42b43f85b626e242e7256842f,true,1
0x9c213bd7e10a3b88172b300fd5b6953cef579c66,true,1
0x9fe176816f90145f8aed9ffdedee158ed8423ba2,true,1
0x4b2a0281dd577e5767442688c1e84ab901a28d46,true,1
0xc2b35534e47cdf3d787e01630129631d8270abfb,true,1
0x56773dcc20c9715d24d3f69ed58c16c471a3f2b7,true,1
0x0c973219372daabc365e3b97e453a500c482264e,true,1
0x2f6f2cafef028632108e2bb00da0da8cba09844f,true,1
0xada00080816c264ece458eee56802c2521c2469e,true,1
0x8f052c26f086a90059b53d269ea44b79c6be255b,true,4
0xbc0398a920ae62e01f486f9fbee90ffeb46ad7a6,true,6
0x2117bf88b4cb0186eaa87500a045fc998290e42a,true,2
0x0ed39b4c8ca3f0faf74c780e8ec128314ee7f514,true,1
0xea15534dcd3a12c78345357d0d496f7fa85a5b71,true,3
0xb6c7e03ede87692deb1de7e40723b952e0fd3773,true,1
0x98f1bda2d45ffaca73fcf2154e9e007871e14934,true,1
0x64419769b308ff45ccb0d202d8f9632058aeeb9c,true,6
0xea0245c82bed665943939d76fe587b875961384f,true,3
0x5bef93a613d78b3ff56c2439d3ae58a26b3353c1,true,1
0xf5671d951c0aa6e4bd69a854fc2d15fe707ddd0e,true,6
0x24d6ff72eccab41724d488a03e8ea721ec3177a3,true,1
0x9380da47618d355a9eec7a2ec37e50c2df9bca6b,true,1
0x2d0ddb67b7d551afa7c8fa4d31f86da9cc947450,true,2
0xf74b25d3f6616e51b2d8be6c8cec54b045229655,true,2
0x27fb0a35ac158fe460b91b04e5087b0131352ed9,true,1
0xbdde100544020fc3dd072bf4ce9a62845e6c9884,true,1
0xf9270609374b754ca26cf00248c0aed197280909,true,1
0x5599fe4a9e489a989d51eb6c3b12116910c35394,true,1
0x23099e3c2b7b8736ca8c428f01c7d2a6b851ed14,true,1
0x95999c47c3e32a337ef108d657675c2757a606ed,true,1
0xde5bcf9443d837220eaf7e2b200e134c4e1caedb,true,1
0xc659fd78a395d70ec69ff034b4378a712e7edb64,true,1
0x0945c91d5ddc3cdfdf7fdd45ded0746d0f31296e,true,1
0xee3aa3fa5b780bc73da73a82d47fa2d8cdc1a647,true,1
0x1b10bd073ccaa7e88b4805e1484734fb1166c528,true,1
0x0fb3fa40850c1e472b6eced8fb10781763d42193,true,1
0xbddb878b393bf91f8d34b2edf7087ca529e3ccaf,true,7
0xde8328c4f5ceeb2c2b3e836b3354413161c81285,true,1
0x36e166e665fa39a1cf7fa26eb2f37ec86c84d24c,true,1
